Index,Time_s,Current_A,Voltage_V,Relay,Voltage_source,Magnetic_flux_Vs
111,5.544,0.4740,0.5425,1,1,0.283652
112,5.594,0.4945,0.5340,1,1,0.310564500000001
113,5.644,0.5145,0.5265,1,1,0.337076999999999
114,5.695,0.5355,0.5140,1,1,0.36360975
115,5.745,0.5570,0.5040,1,1,0.389059750000001
116,5.795,0.5795,0.4900,1,1,0.413909749999999
117,5.845,0.6010,0.4775,1,1,0.43809725
118,5.894,0.6240,0.4615,1,1,0.461102749999999
119,5.943,0.6465,0.4475,1,1,0.483373249999999
120,5.994,0.6695,0.4290,1,1,0.505724
121,6.044,0.6935,0.4135,1,1,0.5267865
122,6.094,0.7175,0.3950,1,1,0.546999000000001
123,6.145,0.7420,0.3775,1,1,0.56669775
124,6.195,0.7655,0.3590,1,1,0.58511025
125,6.245,0.7885,0.3295,1,1,0.60232275
126,6.294,0.7985,0.2690,1,1,0.616986
127,6.345,0.8030,0.2180,1,1,0.6294045
128,6.394,0.8040,0.1720,1,1,0.6389595
129,6.445,0.8030,0.1330,1,1,0.646737
130,6.495,0.7995,0.0995,1,1,0.6525495
131,6.545,0.7945,0.0710,1,1,0.656812
132,6.595,0.7870,0.0460,1,1,0.659737
133,6.644,0.7790,0.0255,1,1,0.66148875
134,6.694,0.7685,0.0085,1,1,0.66233875
135,6.744,0.7575,-0.0035,1,1,0.66246375
136,6.794,0.7445,-0.0140,1,1,0.66202625
137,6.844,0.7300,-0.0200,1,1,0.66117625
138,6.895,0.7145,-0.0250,1,1,0.66002875
139,6.945,0.6990,-0.0275,1,1,0.65871625
140,6.994,0.6830,-0.0305,1,1,0.65729525
141,7.044,0.6670,-0.0330,1,1,0.65570775
142,7.093,0.6505,-0.0360,1,1,0.65401725
143,7.144,0.6345,-0.0375,1,1,0.652143
144,7.194,0.6180,-0.0400,1,1,0.6502055
145,7.243,0.6020,-0.0420,1,1,0.6481965
146,7.294,0.5855,-0.0450,1,1,0.645978
147,7.344,0.5695,-0.0465,1,1,0.6436905
148,7.394,0.5535,-0.0495,1,1,0.6412905
149,7.445,0.5365,-0.0510,1,1,0.63872775
150,7.495,0.5200,-0.0540,1,1,0.63610275
151,7.545,0.5040,-0.0560,1,1,0.63335275
152,7.594,0.4880,-0.0585,1,1,0.6305475
153,7.645,0.4710,-0.0605,1,1,0.627513
154,7.693,0.4550,-0.0630,1,1,0.624549
155,7.743,0.4390,-0.0645,1,1,0.6213615
156,7.795,0.4225,-0.0675,1,1,0.6179295
157,7.844,0.4065,-0.0695,1,1,0.614573
158,7.894,0.3900,-0.0725,1,1,0.611023
159,7.943,0.3740,-0.0750,1,1,0.60740925
160,7.994,0.3575,-0.0780,1,1,0.60350775
161,8.045,0.3415,-0.0815,1,1,0.5994405
162,8.094,0.3255,-0.0845,1,1,0.5953735
163,8.144,0.3095,-0.0870,1,1,0.591086
164,8.194,0.2930,-0.0905,1,1,0.5866485
165,8.243,0.2780,-0.0930,1,1,0.58215275
166,8.294,0.2615,-0.0975,1,1,0.577295
167,8.344,0.2455,-0.1010,1,1,0.5723325
168,8.394,0.2305,-0.1055,1,1,0.56717
169,8.444,0.2145,-0.1090,1,1,0.5618075
170,8.494,0.1985,-0.1130,1,1,0.5562575
171,8.545,0.1825,-0.1180,1,1,0.550367
172,8.593,0.1675,-0.1220,1,1,0.544607
173,8.644,0.1520,-0.1265,1,1,0.53827025
174,8.694,0.1365,-0.1315,1,1,0.53182025
175,8.744,0.1215,-0.1345,1,1,0.52517025
176,8.794,0.1065,-0.1395,1,1,0.51832025
177,8.844,0.0915,-0.1455,1,1,0.51119525
178,8.897,0.0760,-0.1510,1,1,0.503338
179,8.945,0.0615,-0.1580,1,1,0.495922
180,8.995,0.0465,-0.1640,1,1,0.487872
181,9.045,0.0320,-0.1710,1,1,0.479497
182,9.094,0.0175,-0.1765,1,1,0.47098325
183,9.143,0.0035,-0.1840,1,1,0.462151
184,9.194,-0.0105,-0.1920,1,1,0.452563
185,9.245,-0.0250,-0.2005,1,1,0.44255425
186,9.295,-0.0390,-0.2085,1,1,0.43232925
187,9.345,-0.0530,-0.2180,1,1,0.42166675
188,9.394,-0.0665,-0.2265,1,1,0.4107765
189,9.444,-0.0795,-0.2390,1,1,0.399139
190,9.494,-0.0925,-0.2500,1,1,0.386914
191,9.544,-0.1050,-0.2635,1,1,0.3740765
192,9.594,-0.1170,-0.2765,1,1,0.3605765
193,9.644,-0.1285,-0.2910,1,1,0.346389000000001
194,9.695,-0.1405,-0.3075,1,1,0.33112725
195,9.745,-0.1510,-0.3245,1,1,0.31532725
196,9.795,-0.1620,-0.3405,1,1,0.298702250000001
197,9.844,-0.1730,-0.3580,1,1,0.281589
198,9.894,-0.1835,-0.3755,1,1,0.263251500000001
199,9.944,-0.1945,-0.3930,1,1,0.244039
200,9.995,-0.2055,-0.4090,1,1,0.223588
201,10.044,-0.2160,-0.4240,1,1,0.2031795
202,10.093,-0.2270,-0.4400,1,1,0.1820115
203,10.144,-0.2385,-0.4555,1,1,0.159176250000001
204,10.194,-0.2500,-0.4700,1,1,0.13603875
205,10.245,-0.2620,-0.4845,1,1,0.111699
206,10.295,-0.2740,-0.4965,1,1,0.0871740000000009
207,10.345,-0.2865,-0.5095,1,1,0.0620240000000006
208,10.394,-0.2990,-0.5200,1,1,0.0368012500000008
209,10.444,-0.3120,-0.5300,1,1,0.0105512500000004
210,10.495,-0.3260,-0.5385,1,1,-0.0166955000000006
211,10.545,-0.3400,-0.5465,1,1,-0.0438204999999991
212,10.595,-0.3545,-0.5520,1,1,-0.0712829999999994
213,10.645,-0.3700,-0.5570,1,1,-0.0990079999999998
214,10.694,-0.3850,-0.5600,1,1,-0.1263745
215,10.744,-0.4015,-0.5625,1,1,-0.154437
216,10.794,-0.4185,-0.5620,1,1,-0.1825495
217,10.845,-0.4360,-0.5620,1,1,-0.211211499999999
218,10.895,-0.4540,-0.5585,1,1,-0.239224
219,10.944,-0.4720,-0.5550,1,1,-0.26650475
220,10.994,-0.4915,-0.5490,1,1,-0.29410475
221,11.044,-0.5110,-0.5425,1,1,-0.32139225
222,11.094,-0.5300,-0.5345,1,1,-0.348317250000001
223,11.144,-0.5510,-0.5265,1,1,-0.374842249999999
224,11.194,-0.5720,-0.5150,1,1,-0.40087975
225,11.245,-0.5930,-0.5045,1,1,-0.426877000000001
226,11.295,-0.6070,-0.4455,1,1,-0.450626999999999
227,11.344,-0.6135,-0.3895,1,1,-0.471084500000001
228,11.394,-0.6165,-0.3395,1,1,-0.4893095
229,11.444,-0.6175,-0.2930,1,1,-0.505122
230,11.493,-0.6170,-0.2520,1,1,-0.5184745
231,11.545,-0.6150,-0.2140,1,1,-0.5305905
232,11.595,-0.6115,-0.1790,1,1,-0.5404155
233,11.644,-0.6070,-0.1485,1,1,-0.54843925
